Timestamp;N;Repetition;Q1TimeInMsec;Q2TimeInMsec;Q3TimeInMsec;CustomerTableInByte;ItemTableInByte;JoinTableInByte;NumRecordsToProcess;Type
1485919117;3280000;20;240096;5485040;2306536;314880000;55104000;1208;150;ColumnStore
1485919118;3280000;20;233723;2718274;13659112;314880000;55104000;1208;150;RowStore
1485919119;3280000;21;166375;5003098;2690973;314880000;55104000;1208;150;ColumnStore
1485919120;3280000;21;192174;1942463;14519047;314880000;55104000;1208;150;RowStore
1485919121;3280000;22;203878;4989886;2357028;314880000;55104000;1208;150;ColumnStore
1485919122;3280000;22;229303;1493671;12151877;314880000;55104000;1208;150;RowStore
1485919123;3280000;23;271824;4601098;2497471;314880000;55104000;1208;150;ColumnStore
1485919124;3280000;23;200315;1800311;10525392;314880000;55104000;1208;150;RowStore
1485919125;3280000;24;165064;5023513;2227501;314880000;55104000;1208;150;ColumnStore
1485919126;3280000;24;188727;1799219;15539147;314880000;55104000;1208;150;RowStore
1485919127;3280000;25;206594;4907611;2162662;314880000;55104000;1208;150;ColumnStore
1485919128;3280000;25;174701;2389637;12563138;314880000;55104000;1208;150;RowStore
1485919129;3280000;26;179897;4593847;2937891;314880000;55104000;1208;150;ColumnStore
1485919130;3280000;26;240124;1715156;13145622;314880000;55104000;1208;150;RowStore
1485919131;3280000;27;347449;4655747;2569508;314880000;55104000;1208;150;ColumnStore
1485919132;3280000;27;192509;2899171;10446586;314880000;55104000;1208;150;RowStore
1485919133;3280000;28;190272;4935392;2188163;314880000;55104000;1208;150;ColumnStore
1485919134;3280000;28;265325;1263162;12434657;314880000;55104000;1208;150;RowStore
1485919135;3280000;29;180240;4558254;2336758;314880000;55104000;1208;150;ColumnStore
1485919136;3280000;29;172838;2308544;14300147;314880000;55104000;1208;150;RowStore
1485919137;3280000;30;202354;5127803;2724943;314880000;55104000;1208;150;ColumnStore
1485919138;3280000;30;230015;1401270;11859924;314880000;55104000;1208;150;RowStore
1485919139;3280000;31;205729;4680623;2181715;314880000;55104000;1208;150;ColumnStore
1485919140;3280000;31;220632;1819009;17615169;314880000;55104000;1208;150;RowStore
1485919141;3280000;32;250705;4843747;2149833;314880000;55104000;1208;150;ColumnStore
1485919142;3280000;32;199683;1247603;14833438;314880000;55104000;1208;150;RowStore
1485919143;3280000;33;221390;5305709;2253702;314880000;55104000;1208;150;ColumnStore
1485919144;3280000;33;255340;1373993;10308707;314880000;55104000;1208;150;RowStore
1485919145;3280000;34;226757;4782738;2266440;314880000;55104000;1208;150;ColumnStore
1485919146;3280000;34;220701;1381849;13575124;314880000;55104000;1208;150;RowStore
1485919147;3280000;35;257827;4733282;2112064;314880000;55104000;1208;150;ColumnStore
1485919148;3280000;35;187057;1249990;12590657;314880000;55104000;1208;150;RowStore
1485919149;3280000;36;205931;4539484;2567669;314880000;55104000;1208;150;ColumnStore
1485919150;3280000;36;222068;1378176;10273962;314880000;55104000;1208;150;RowStore
1485919151;3280000;37;218634;4557235;2161293;314880000;55104000;1208;150;ColumnStore
1485919152;3280000;37;275150;1266318;13815134;314880000;55104000;1208;150;RowStore
1485919153;3280000;38;200951;5100549;2239532;314880000;55104000;1208;150;ColumnStore
1485919154;3280000;38;236720;1204726;14032538;314880000;55104000;1208;150;RowStore
1485919155;3280000;39;202592;4789596;2583600;314880000;55104000;1208;150;ColumnStore
1485919156;3280000;39;193028;1311997;12230104;314880000;55104000;1208;150;RowStore
1485919156;3280000;40;267853;4809936;2220955;314880000;55104000;1208;150;ColumnStore
1485919157;3280000;40;231738;1422021;10506457;314880000;55104000;1208;150;RowStore
1485919158;3280000;41;248440;5089994;2180871;314880000;55104000;1208;150;ColumnStore
1485919159;3280000;41;228782;1246015;12538931;314880000;55104000;1208;150;RowStore
1485919160;3280000;42;199705;6103946;3732031;314880000;55104000;1208;150;ColumnStore
1485919161;3280000;42;199215;1186773;11122286;314880000;55104000;1208;150;RowStore
1485919162;3280000;43;195960;5027131;2110534;314880000;55104000;1208;150;ColumnStore
1485919163;3280000;43;212590;2498291;13124996;314880000;55104000;1208;150;RowStore
1485919164;3280000;44;204551;5085552;2037145;314880000;55104000;1208;150;ColumnStore
1485919165;3280000;44;238486;1927452;10236797;314880000;55104000;1208;150;RowStore
1485919166;3280000;45;208480;4906435;2662443;314880000;55104000;1208;150;ColumnStore
1485919167;3280000;45;198302;1391404;10492718;314880000;55104000;1208;150;RowStore
1485919168;3280000;46;202007;5276723;2136283;314880000;55104000;1208;150;ColumnStore
1485919169;3280000;46;250501;2113108;10635641;314880000;55104000;1208;150;RowStore
1485919170;3280000;47;179515;5322917;2367437;314880000;55104000;1208;150;ColumnStore
1485919171;3280000;47;222455;1389083;16028104;314880000;55104000;1208;150;RowStore
1485919172;3280000;48;221665;4919403;2742351;314880000;55104000;1208;150;ColumnStore
1485919173;3280000;48;328592;1880685;11060551;314880000;55104000;1208;150;RowStore
1485919174;3280000;49;358377;5484394;2306096;314880000;55104000;1208;150;ColumnStore
1485919175;3280000;49;219240;1342809;15512487;314880000;55104000;1208;150;RowStore
1485919177;4770000;0;254605;4141304;3232665;457920000;80136000;1208;150;ColumnStore
1485919178;4770000;0;222625;1948540;22502498;457920000;80136000;1208;150;RowStore
1485919179;4770000;1;235402;4134890;3146636;457920000;80136000;1208;150;ColumnStore
1485919181;4770000;1;208232;3188760;20403057;457920000;80136000;1208;150;RowStore
1485919182;4770000;2;206046;5047573;3724972;457920000;80136000;1208;150;ColumnStore
1485919184;4770000;2;246948;2256799;15154729;457920000;80136000;1208;150;RowStore
1485919185;4770000;3;208215;4211298;2957895;457920000;80136000;1208;150;ColumnStore
1485919187;4770000;3;216751;2484727;16216894;457920000;80136000;1208;150;RowStore
1485919188;4770000;4;252227;4207948;3454166;457920000;80136000;1208;150;ColumnStore
1485919189;4770000;4;290163;2306891;17071699;457920000;80136000;1208;150;RowStore
1485919191;4770000;5;246904;4429255;4433033;457920000;80136000;1208;150;ColumnStore
1485919192;4770000;5;322397;2334419;17654595;457920000;80136000;1208;150;RowStore
1485919194;4770000;6;204402;5025293;2956483;457920000;80136000;1208;150;ColumnStore
1485919195;4770000;6;206992;2469956;17252536;457920000;80136000;1208;150;RowStore
1485919197;4770000;7;193920;6619110;3235573;457920000;80136000;1208;150;ColumnStore
1485919198;4770000;7;203057;2270791;14934278;457920000;80136000;1208;150;RowStore
1485919199;4770000;8;230102;4075580;4021186;457920000;80136000;1208;150;ColumnStore
1485919201;4770000;8;249720;2242229;18885737;457920000;80136000;1208;150;RowStore
1485919202;4770000;9;218747;4412566;2994121;457920000;80136000;1208;150;ColumnStore
1485919204;4770000;9;216571;2536095;15339965;457920000;80136000;1208;150;RowStore
1485919205;4770000;10;193795;4190676;3146360;457920000;80136000;1208;150;ColumnStore
